title,type,degree,frequency,description
В. И. СПИВАКОВ,PERSON,1,1,В. И. Спиваков is an author associated with the research on controlled rolling of sheets with accelerated cooling.
Э. А. ОРЛОВ,PERSON,1,1,Э. А. Орлов is an author associated with the research on controlled rolling of sheets with accelerated cooling.
И. В. ГАНОШЕНКО,PERSON,1,1,И. В. Ганошенко is an author associated with the research on controlled rolling of sheets with accelerated cooling.
МК «АЗОВСТАЛЬ»,ORGANIZATION,3,1,МК «Азовсталь» is a steel mill in Ukraine known for its production capabilities and technological advancements in steel processing.
КОНТРОЛИРОВАННАЯ ПРОКАТКА,PROCESS,10,1,"Контролируемая прокатка (КП) refers to the process of controlled rolling of thick sheets, especially focusing on obtaining fine ferrite grain."
УСКОРЕННОЕ ОХЛАЖДЕНИЕ,PROCESS,1,1,Ускоренное охлаждение is a process utilized after deformation in steel manufacturing to enhance mechanical properties.
НИЗКОТЕМПЕРАТУРНАЯ ПРОКАТКА,PROCESS,2,1,Низкотемпературная прокатка is a rolling process conducted at lower temperatures to improve the mechanical properties of steel.
МАЛОПЕРЛИТНЫЕ СТАЛИ,STEEL GRADE,5,2,"Малоперлитные стали, или low-perlite steels, представляют собой особую категорию сталей, отличающихся специфическими механическими свойствами и применением в различных отраслях. Эти стали характеризуются повышенной прочностью и хорошей свариваемостью, что делает их подходящими для использования в конструкциях, требующих высокой надежности и долговечности.

В то же время, стоит отметить, что существуют другие виды сталей, которые демонстрируют лучшие механические свойства при высоких температурах. Это означает, что хотя малоперлитные стали имеют свои преимущества, их использование может быть ограничено в условиях, требующих высокой термостойкости и устойчивости к деформациям при температурах выше нормальных.

В заключение, малоперлитные стали представляют собой важную категорию материалов с уникальными механическими характеристиками, которые находят применение в ряде промышленностей, однако в случаях, когда критическими являются температура и устойчивость к высокому теплу, могут быть предпочтительнее альтернативные стали с более высокими механическими свойствами."
ТЕПЕРАТУРНЫЕ ПАРАМЕТРЫ,PROCESS PARAMETER,1,1,Температурные параметры are critical factors in the controlled rolling process that influence the final properties of the steel.
ФЕРРИТ,PHASE,3,2,"Феррит is a microstructural phase in steel that is characterized by its soft and ductile nature. This phase is significant due to its body-centered cubic (BCC) structure, which is crucial in defining the mechanical properties of steel. The presence of феррит in the steel microstructure contributes to its overall toughness, malleability, and ability to withstand various forms of mechanical stress. Thus, understanding the properties and contributions of феррит is essential for the development and processing of steel products, emphasizing its importance in metallurgical applications."
