source,target,weight,description
В. И. СПИВАКОВ,МК «АЗОВСТАЛЬ»,5.0,В. И. Спиваков is associated with the research efforts conducted at the MK «Азовсталь» steel mill
Э. А. ОРЛОВ,МК «АЗОВСТАЛЬ»,5.0,Э. А. Орлов is associated with the research efforts conducted at the MK «Азовсталь» steel mill
И. В. ГАНОШЕНКО,МК «АЗОВСТАЛЬ»,5.0,И. В. Ганошенко is associated with the research efforts conducted at the MK «Азовсталь» steel mill
КОНТРОЛИРОВАННАЯ ПРОКАТКА,УСКОРЕННОЕ ОХЛАЖДЕНИЕ,7.0,Контролируемая прокатка involves the use of accelerated cooling to enhance steel properties
КОНТРОЛИРОВАННАЯ ПРОКАТКА,НИЗКОТЕМПЕРАТУРНАЯ ПРОКАТКА,7.0,Контролируемая прокатка is a specific case of low-temperature rolling designed to improve steel characteristics
МАЛОПЕРЛИТНЫЕ СТАЛИ,КОНТРОЛИРОВАННАЯ ПРОКАТКА,8.0,Малоперлитные стали are primarily processed through the controlled rolling method for desired properties
ТЕПЕРАТУРНЫЕ ПАРАМЕТРЫ,КОНТРОЛИРОВАННАЯ ПРОКАТКА,6.0,Температурные параметры are crucial for the effectiveness of the controlled rolling process
ФЕРРИТ,КОНТРОЛИРОВАННАЯ ПРОКАТКА,8.0,Контролируемая прокатка helps in refining grains resulting in fine ferritic structures
АУСТЕНИТ,КОНТРОЛИРОВАННАЯ ПРОКАТКА,7.0,Контролируемая прокатка affects austenite development during the rolling process
ПРОЧНОСТЬ,КОНТРОЛИРОВАННАЯ ПРОКАТКА,8.0,Контролируемая прокатка is used to enhance the strength of the rolled steel
ПЛАСТИЧНОСТЬ,КОНТРОЛИРОВАННАЯ ПРОКАТКА,1.0,Контролируемая прокатка can impact plasticity due to its processing conditions
ДЕФОРМАЦИЯ,КОНТРОЛИРОВАННАЯ ПРОКАТКА,9.0,"Деформация is a key component of the controlled rolling process, influencing final material properties"
ВАКУУМИРОВАНИЕ,МЕТАЛЛ,8.0,Вакуумирование improves the quality of the metal by minimizing impurities
КЛАССЫ ПРОЧНОСТИ,НИЗКОТЕМПЕРАТУРНАЯ ПРОКАТКА,6.0,Классы прочности indicate specific strength requirements that low-temperature processing must meet
РЕКРИСТАЛЛИЗАЦИЯ,АУСТЕНИТ,7.0,Рекристаллизация critically influences the transformation of austenite during processing
КРИТИЧЕСКИЙ ИНТЕРВАЛ,ДЕФОРМАЦИЯ,7.0,Критический интервал affects the deformation characteristics of materials being processed
ГОТВИТЕЛЬНОЕ СУДНО,КОНТРОЛИРОВАННАЯ ПРОКАТКА,1.0,Готовительное судно is essential to the controlled rolling process for preparing materials
КП,КЛЕТЬ,8.0,КП включает использование клетей для осуществления процессов прокатки металла
МАННЕСМАН–РОХРЕН,КП,7.0,Оборудование Mannesman–rohren используется для осуществления процессов контролируемой прокатки
ВОЕСТ–АЛЬПИН,КП,7.0,Оборудование Voest–Alpine также поддерживает осуществление контролируемой прокатки
ПОСКО,КП,7.0,"Процессы КП могут использовать оборудование, произведенное компанией Posko."
МК ИМ. ИЛИЧА,КП,8.0,Металлургический комбинат им. Илича применяет технологии контролируемой прокатки
КП,ТЕПЕРАТУРА,9.0,Процесс контролируемой прокатки связан с управлением температурой на различных этапах процесс
КП,ЭНЕРГИЯ,8.0,"Энергетические затраты являются важной частью процесса контролируемой прокатки, определяя эффективность"
КП,ПЛОСКОСТЬ,8.0,Контролируемая прокатка необходимо для обеспечения плоскости готового металлопроката
ЛИСТЫ,КП,1.0,"Листы являются конечным продуктом процесса контролируемой прокатки, который проходит через все стадии"
КП,ОХЛАЖДЕНИЕ,9.0,"Процесс контролируемой прокатки включает этап охлаждения, чтобы достичь необходимых свойств металла"
КП,ПРОДУКТИВНОСТЬ,8.0,Контролируемая прокатка напрямую влияет на производительность прокатного стана
КП,ТЕПЛОВАЯ МОДЕЛЬ,9.0,"Оптимизация процесса контролируемой прокатки осуществляется посредством тепловых моделей, которые помогают управлять температурой"
КП,ДЛИТЕЛЬНОСТЬ,1.0,Длительность каждого этапа контролируемой прокатки должна быть тщательно рассчитана для обеспечения качества
